link|name|location|company|date|description|date_of_download
https://rabota.sber.ru/search/4190759|Главный сетевой инженер|г Москва||09 октября 2023|"SberInfra ищет в свою дружную команду Главного сетевого инженера!
Что такое SberInfra?
Наша команда работает над инфраструктурным развитием Сбера. Мы формируем готовые инфраструктурные решения, работаем с системами хранения данных, серверными мощностями, виртуальными машинами и системным ПО для них.
Мы превращаем технологии в ценность для наших клиентов, используем инновационные решения, предоставляя качественный сервис и надежную поддержку.
Управление сетевой инфраструктуры - это дружная команда единомышленников по созданию, развитию и сопровождению сетевых продуктов (балансировщики сетевой нагрузки).
Если ты хочешь вместе с нами создавать лучшие продукты для клиентов Сбера, присоединяйся к команде.
Тебе предстоит:
сопровождение аппаратных и программных сервисов балансировки нагрузки трафика приложений enterprise и opensource, включая поиск и устранение инцидентов, анализ корневых причин инцидентов, 3-линия поддержки;
развитие сервисов балансировки нагрузки трафика приложений, включая проектирование и разработка HLD/LLD, тестирование новых технических решений, планирование и организация работ по внедрению изменений на инфраструктуре.
Мы ждем от тебя:
опыт работы и глубокие технические знания в проектировании, развитии и эксплуатации крупной телекоммуникационной инфраструктуры не менее 10 лет;
экспертные знания в разработке архитектуры и опыт эксплуатации сетевых SDN и NFV решений ведущих производителей Huawei, Cisco, VMware, Juniper, Open Source;
опыт работы с современными системами мониторинга сетевой инфраструктуры, c системами сбора и анализа сетевых аномалий;
знания и практический опыт сопровождения сетевого оборудования балансировки нагрузки трафика приложений;
знания сетевых протоколов L2/L3 BGP, MPLS, OSPF, IPv4/v6, VXLAN, EVPN, VPLS, Multicast, Sflow, IPFIX, QoS;
глубокие знания операционных систем Linux (Ubuntu, RHEL) на уровне RCHE;
знания и практический опыт в разработке технических решений на базе Open Source;
умение составлять проектную документацию (HLD/LLD) для эксплуатации телекоммуникационной инфраструктуры;
hands-on и troubleshooting оборудования Huawei, Cisco;
знание английского языка для работы с документацией производителей
сертификаты международных производителей уровня эксперта (например HCIE, CCIE);
плюсом будет опыт разработки скриптов автоматизации на базе современных высокоуровневых языков программирования (Python, etc).
Мы предлагаем:
работу в офисе 5/2 (10 минут пешком от ст. м. Кожуховская);
стабильную заработную плату, которая зависит от ваших технических знаний и навыков, состоит из оклада и щедрого ежегодного премирования;
заботу о здоровье: корпоративную программу ДМС с первого дня работы в лучших клиниках города и льготную медицинскую страховку для ваших близких, включая стоматологию, а еще бесплатный тренажерный зал, страхование жизни, скидки для посещения корпоративного санатория в Крыму одному или с семьей;
обучение: индивидуальный план развития, огромнейшую он-лайн библиотеку учебных материалов и курсов для прокачки твоих hard- и soft-skill's и, конечно, корпоративный университет;
яркую и разнообразная корпоративную жизнь: спортивные соревнования, марафоны, тимбилдинги и тренинги, тематические праздники, благотворительные кампании и волонтерство;
особые условия для сотрудников: специальные курсы обмена валюты, дисконт-программы от партнеров банка, льготные кредиты и ипотека, страховка при выезде за рубеж, повышенные бонусы «Спасибо», каршеринг, телемедицина DocDoc, консультации юристов, услуги ветеринаров;
присоединившись к нашей команде, вы получите уникальный опыт организации ИТ-инфраструктуры одной из крупнейших в России серверных инфраструктур."|2023-10-09 16:50:42.989057
https://rabota.sber.ru/search/4206802|Инженер SRE/DevOps (Kubernetes)|г Москва||09 октября 2023|"Облачная платформа SberInfra.Cloud является фундаментом для всех сервисов группы компаний СБЕР. Мы помогаем создавать и развивать цифровые сервисы и приложения для всей экосистемы. Наша команда разрабатывает сервис для управления кластерами Kubernetes в облаке СБЕРа.

Мы считаем, что качество продукта определяют прежде всего люди. На это ответственное направление, для развития платформы контейнеризации и повышения качества сервиса, мы ищем инженера с экспертным знанием инфраструктуры контейнеризации, который разбирается в построении систем контейнеризации и имеет опыт реализации инфраструктурных проектов. Мы используем передовые практики разработки и современный набор технологий, что открывает возможность профессионального роста даже для опытного специалиста в области контейнеризации.
Обязанности
Участвовать вместе с командой в обсуждении архитектуры проектов:
участвовать в сопровождении и развитии микросервисной инфраструктуры
разрабатывать автоматизацию для управления kubernetes и инфраструктурой вокруг него
разрабатывать автоматизацию для управления цепочками поставок релизов
участвовать в процессе разработки kubernetes контроллеров
участвовать в анализе, проработке и реализации архитектуры решения managed k8s
Требования
Опыт создания и администрирования кластеров Kubernetes
опыт написания автоматизации на ansible/chef/puppet etc...
опыт администрирования Linux
понимать принципы работы виртуализации/контейнеризации
опыт в построении и поддержке отказоустойчивых систем
понимать как работают современные сети
опыт работы/построения CI/CD
считать необходимым обеспечить любой сервис мониторингом и логированием

Используемые технологии и продукты: kubernetes, crio, cilium, metallb, istio, vector, victoriametrics, coreos, gitlab, ansible, kubernetes-operators, postgres
Условия
Офис: Москва, БЦ «Южный Порт» (10 минут пешком от ст. м. Кожуховская), отсутствие строгого дресс-кода, отсутствие командировок;
Уровень заработной платы, который зависит от ваших технических знаний и навыков, состоит из оклада и годового премирования;
График работы: 5/2;
Заботу о здоровье: корпоративную программу ДМС (включает стоматологию, обследования, лечение заболеваний и т.д.), бесплатный тренажерный зал, страхование жизни, посещение корпоративного санатория в Крыму одному или с семьей;
Знания: индивидуальный план обучения с учебными курсами и поездками на конференции за счет работодателя, а еще у Вас будет возможность попробовать себя в роли спикера или ментора;
Корпоративные мероприятия: Новый год, командные выезды, участие в интеллектуальных играх. Еще мы помним о Ваших детях и дарим подарки на новый год;
Особые условия для сотрудников: льготные условия кредитования, дисконт-программы от партнеров банка"|2023-10-09 16:50:43.037504
https://rabota.sber.ru/search/4208406|Кредитный инспектор в отдел сложноструктурированных сделок|г Санкт-Петербург||09 октября 2023|"Команда блока «корпоративно – инвестиционный бизнес» ищет кредитного инспектора в отдел сложноструктурированных сделок.
Мы работаем над несколькими направлениями в сегментах среднего, крупного и крупнейшего бизнесов и рассматриваем следующие сделки:
·     оборотное кредитование
·     контрактное кредитование
·     инвестиционное и проектное финансирование
·     синдицированное кредитование и сделки в иностранном праве
·     сделки M&A, LBO.
Обязанности
структурирование сделок клиентов КСБ: M&A, LBO, инвестиционное кредитование и проектное финансирование, сложноструктурированные сделки
работа с подразделением рисков, защита на кредитном комитете
анализ тенденций отрасли с формирование позиции по рискам заемщиков
построение CF-моделей с различными стресс-сценариями
участие в переговорах
Требования
высшее экономическое образование
опыт в инвестиционном анализе (РСБУ, МСФО)
построение финансовых моделей
опыт работы в кредитовании клиентов КСБ
опыт работы с проблемной задолженностью
уверенный пользователь MS Excel, Power point
Условия
трудоустройство согласно ТК РФ
гарантированный доход плюс премиальное вознаграждение
ипотека выгоднее на 4% для каждого сотрудника
льготные условия кредитования
ДМС с первого дня и льготное страхование для близких
бесплатная подписка СберПрайм+, скидки на продукты компаний-партнеров
корпоративная пенсионная программа
обучение за счет компании: онлайн курсы в Виртуальной школе Сбера, возможность получить новую квалификацию
курсы для будущих родителей, материальная поддержка молодых мам, детский отдых и подарки за счет компании
реферальная программа для сотрудников: можно пригласить в команду знакомых профессионалов и получить вознаграждение до 100 тыс. рублей."|2023-10-09 16:50:43.084766
https://rabota.sber.ru/search/4179283|Операционный менеджер ВИП офиса Сбер|г Уфа, республика Башкортостан||09 октября 2023|"СберПервый – это офис премиального обслуживания для состоятельных клиентов Сбера. Мы работаем с биржевыми инструментами, помогаем создавать инвестиционный портфель и используем готовые стратегии для формирования капитала клиентов.
Мы ищем операционного менеджера, который будет проводить операции клиентов в отделении банка.
Обязанности
осуществлять расчётно-кассовое обслуживание ВИП-клиентов: прием/обмен/выдача наличных денег, покупка/продажа монет и слитков из драг металлов, переводы и другие операции
оформлять инвестиционные продукты
осуществлять постпродажное сопровождение по оформленным продуктам клиента
обучать клиентов использованию удаленных каналов
осуществлять операции кредитования клиентов, в том числе ипотеки
консультировать клиентов по операционным вопросам
осуществлять операции с индивидуальными сейфами
проводить сделки купли/продажи.
Требования
опыт работы в банковском секторе не менее 1 года
знание моделей, стандартов и технологий обслуживания и продаж банковских продуктов
опыт оформления и операционного сопровождения продуктов банковской линейки, в том числе премиальной
знание принципов работы в банковском программном обеспечении.
Условия
гибкий график работы
поддержка наставника в период адаптации
опыт работы с биржевыми и инвестиционными инструментами
решение разнообразных финансовых задач клиентов
развитие в банковской сфере."|2023-10-09 16:50:43.142268
https://rabota.sber.ru/search/4207926|Водитель инкассации|г Муром, Владимирская область||09 октября 2023|"Сбер — лучший работодатель России. У нас 14 тысяч подразделений по всей стране и возможности внутреннего развития для каждого сотрудника.

Водители автомобиля, предназначенного для инкассирования (перевозки) ценностей и корреспонденции — это настоящие профессионалы, которые обеспечивают перевозку и сохранность банковских ценностей. В Сбербанке тебя ждет дружный коллектив, современные бронированные автомобили и технологии работы, забота о здоровье и безопасности, а также постоянное профессиональное развитие.
Обязанности
перевозить денежные средства, а также другие ценности
оказывать инкассаторские услуги клиентам банка
обеспечивать сохранность перевозимых ценностей, автотранспорта
Требования
образование не ниже среднего
права категории B
хорошую физическую подготовку
готовность работать на маршруте вдвоем и по одному
умение обращаться с оружием или готовность обучаться и сдавать соответствующие нормативы.
Рассматриваем кандидатов в том числе и без опыта в аналогичной позиции, но с подтвержденным стажем работы водителем(в трудовой книжке) от 1 года.
Условия
стабильный оклад и социальную поддержку сотрудников
усиленные меры безопасности: современный бронированный автомобиль, боевое оружие, бронежилет и спец контейнеры
гибкий режим работы с суммированным учетом рабочего времени, ночных смен нет
бесплатную подписку СберПрайм+ и скидки на продукты компаний-партнеров
ДМС с первого дня для сотрудников и льготное кредитование для близких
корпоративную пенсионную программу
корпоративное обучение
возможность участвовать в конкурсах профессионального мастерства с достойным признанием лучших сотрудников
ипотеку выгоднее на 4% для каждого сотрудника.
Присоединяйся к команде водителей-инкассаторов Сбера!"|2023-10-09 16:50:43.189496
https://rabota.sber.ru/search/4206833|Водитель инкассации|г Ижевск, республика Удмуртская||09 октября 2023|"Сбер — лучший работодатель России. У нас 14 тысяч подразделений по всей стране и возможности внутреннего развития для каждого сотрудника.

Водители автомобиля, предназначенного для инкассирования (перевозки) ценностей и корреспонденции — это настоящие профессионалы, которые обеспечивают перевозку и сохранность банковских ценностей. В Сбербанке тебя ждет дружный коллектив, современные бронированные автомобили и технологии работы, забота о здоровье и безопасности, а также постоянное профессиональное развитие.
Обязанности
перевозить денежные средства, а также другие ценности
оказывать инкассаторские услуги клиентам банка
обеспечивать сохранность перевозимых ценностей, автотранспорта
Требования
образование не ниже среднего
права категории B
хорошую физическую подготовку
готовность работать на маршруте вдвоем и по одному
умение обращаться с оружием или готовность обучаться и сдавать соответствующие нормативы.
Рассматриваем кандидатов в том числе и без опыта в аналогичной позиции, но с подтвержденным стажем работы водителем (в трудовой книжке) от 1 года.
Условия
стабильный оклад и социальную поддержку сотрудников
усиленные меры безопасности: современный бронированный автомобиль, боевое оружие, бронежилет и спец контейнеры
гибкий режим работы с суммированным учетом рабочего времени
бесплатную подписку СберПрайм+ и скидки на продукты компаний-партнеров
ДМС с первого дня для сотрудников и льготное кредитование для близких
корпоративную пенсионную программу
корпоративное обучение
возможность участвовать в конкурсах профессионального мастерства с достойным признанием лучших сотрудников
ипотеку выгоднее на 4% для каждого сотрудника.
Присоединяйся к команде водителей-инкассаторов Сбера!"|2023-10-09 16:50:43.244889
https://rabota.sber.ru/search/4208983|Водитель инкассации|г Набережные Челны, республика Татарстан||09 октября 2023|"Сбер — лучший работодатель России. У нас 14 тысяч подразделений по всей стране и возможности внутреннего развития для каждого сотрудника.

Водители автомобиля, предназначенного для инкассирования (перевозки) ценностей и корреспонденции — это настоящие профессионалы, которые обеспечивают перевозку и сохранность банковских ценностей. В Сбербанке тебя ждет дружный коллектив, современные бронированные автомобили и технологии работы, забота о здоровье и безопасности, а также постоянное профессиональное развитие.
Обязанности
перевозить денежные средства, а также другие ценности
оказывать инкассаторские услуги клиентам банка
обеспечивать сохранность перевозимых ценностей, автотранспорта
Требования
образование не ниже среднего
права категории B
хорошую физическую подготовку
готовность работать на маршруте вдвоем и по одному
умение обращаться с оружием или готовность обучаться и сдавать соответствующие нормативы.
Рассматриваем кандидатов в том числе и без опыта в аналогичной позиции, но с подтвержденным стажем работы водителем(в трудовой книжке) от 1 года.
Условия
стабильный оклад и социальную поддержку сотрудников
усиленные меры безопасности: современный бронированный автомобиль, боевое оружие, бронежилет и спец контейнеры
гибкий режим работы с суммированным учетом рабочего времени, например, по 12 часов через день, с предоставлением 2-х спаренных выходных дней
бесплатную подписку СберПрайм+ и скидки на продукты компаний-партнеров
ДМС с первого дня для сотрудников и льготное кредитование для близких
корпоративную пенсионную программу
корпоративное обучение
возможность участвовать в конкурсах профессионального мастерства с достойным признанием лучших сотрудников
ипотеку выгоднее на 4% для каждого сотрудника.
Присоединяйся к команде водителей-инкассаторов Сбера!"|2023-10-09 16:50:43.289936
https://rabota.sber.ru/search/4212886|Клиентский менеджер офиса Домклик|г. Мурино, Ленинградская область||09 октября 2023|"Наша команда занимается ипотечным кредитованием Клиентов при покупке недвижимости в сервисе ДомКлик. Мы решаем любые вопросы с недвижимостью и делаем процесс получения ипотеки проще и комфортнее для наших Клиентов.

Мы ищем клиентского менеджера офиса Домклик, который будет проводить ипотечные сделки, оформлять дополнительные продукты и услуги офиса Домклик и консультировать Клиентов по всем вопросам, связанным с приобретением недвижимости.
Тебе предстоит:
выполнение операций кредитования клиентов: консультирование клиентов, прием от заемщика пакета документов при подаче заявки на ипотечный кредит, анализ пакета документов по объекту недвижимости на соответствие требованиям Банка;
знакомство клиента с партнерскими программами по подбору объекта;
обеспечение выполнения установленных ежемесячных планов продаж;
консультирование клиентов по вопросам сопровождения ипотечных кредитов (в том числе телефонные консультации).
Мы ждем от тебя:
образование среднее специальное/неполное высшее/высшее;
стаж работы в продажах банковских услуг не менее года;
клиентоориентированность;
мотивацию на достижение результатов.
Работа в Сбере – это:
стабильный оклад и социальная поддержка сотрудников
помощь наставника, команды и программа обучения ипотечному кредитованию для новичков
ДМС с первого дня и льготное страхование для близких
корпоративное обучение в Виртуальной школе Сбера
бесплатная подписка СберПрайм +, скидки на продукты компаний-партнеров
корпоративная пенсионная программа
ипотека выгоднее на 4% для каждого сотрудника."|2023-10-09 16:50:43.336433
https://rabota.sber.ru/search/4174354|Главный специалист технической поддержки|г Тула, Тульская область||09 октября 2023|"Сбер — лучший работодатель России. У нас и 14 тысяч подразделений по всей стране и поддержка компании-работодателя.
Обязанности
Тебе предстоит:

Прием, регистрация и предварительный анализ поступающих обращений пользователей;
Решение обращений и консультирование пользователей по продуктам компании SberCloud;
Категоризация запросов (определение типа запроса, принадлежности к информационной системе, критичности влияния и срочности выполнения, приоритета);
Отслеживание статусов запросов и информирование пользователей о статусах прохождения запросов;
Маршрутизация запросов на ответственных исполнителей в соответствии с действующими схемами маршрутизации;
Управление и контроль всего жизненного цикла зарегистрированного запроса (отслеживание изменения статусов, контроль сроков исполнения и др.).
Фиксация всех выполняемых работ в системе ITSM, согласно утверждённому регламенту и инструкций.
Требования
Мы ждем от тебя:

Обладать грамотной устной и письменной речью, знать этику делового письменного и устного общения;
Знать и соблюдать принципы клиентоориентированности;
Знать особенности и принципы организации работы первой линии технической поддержки;
Знать принципы построения и основные концепции библиотеки ITIL;
Знать базовые архитектурные принципы ИТ;
Опыт работы в технической поддержке от 1 года;
Опыт работы и понимание принципов виртуализации;
Опыт администрирования MS Windows, Windows Server, Linux (cmd, bash, terminal, ipconfig, Windows Features, etc);
Опыт администрирования и настройки систем виртуализации (гипервизора) (VMWare ESXi);
Знание английского языка на уровне B2, умение работать с технической документацией на английском языке. Знание терминов технического уровня.

Будет плюсом:

Опыт администрирования и настройки систем виртуализации (гипервизора) KVM, Microsoft Azure);
Опыт работы с установкой и настройкой серверов баз данных (MS SQL, PostgreSQL, MongoDB);
Опыт работы с развертыванием и настройкой контейнеров (Kubernetes, Docker);
Опыт работы с брокерами сообщений (Kafka, RabbitMQ);
Базовое понимание или навыки работы с инструментами автоматизации разворачивания инфраструктуры (Terraform).
Условия
Мы предлагаем:

Стабильный оклад и социальную поддержку сотрудников
1 месяц - работа с пн по пт в офисе; после 1 месяца - скользящий график работы (3/1), удаленный формат
Официальное оформление с первого дня
Поддержку наставника и команды в период адаптации
Расширенный ДМС с первого дня и льготное страхование для близких
Корпоративное обучение в Виртуальной школе Сбера
Бесплатная подписка СберПрайм+ и скидки на продукты компаний-партнеров
Корпоративная пенсионная программа
Ипотека выгоднее на 4% для каждого сотрудника."|2023-10-09 16:50:43.384001
https://rabota.sber.ru/search/4153779|Ведущий экономист в службу финансового менеджмента отдела экономической оценки|г Нижний Новгород, Нижегородская область||09 октября 2023|"Отдел экономической оценки ищет специалиста в команду бизнес-поддержи инструментов расчета комплексной рентабельности клиентов ЮЛ, расчетного модуля по индивидуальным тарифам и расчетного модуля f-RORWA, имеет проактивную жизненную позицию и готов работать в кросс-территориальной команде (Нижний Новгород, Москва, Екатеринбург, Воронеж).
Обязанности
разбор запросов пользователей и консультирование внутренних клиентов по методологии расчета комплексной рентабельности клиентов ЮЛ и F-RORWA;
формирование ответов для пользователей;
подключение 2-й линии для решения вопросов пользователей (если необходимо);
перевод заявок в ручной режим и пересчет лимита в случае выявленных дефектов;
формирование запроса на доработку к Команде данных и Команде по ИТ по выявленным дефектам;
подготовка выгрузок для проведения аналитики командой ""Индивидуальные тарифы"", оценки экономической эффективности проектов Корпоративного блока;
взаимодействие со смежными командами
Требования
Профильное финансовое, экономическое или математическое образование
Общее понимание бизнес-процессов Банка, знание продуктовой линейки Банка
Знания в области инвестиционной оценки, корпоративных финансов, финансового анализа, бухгалтерского и налогового учета
Опыт построения финансовых и математических моделей
Опыт взаимодействия с разными командами
Умение работать с массивами данных, опыт работы с SQL будет преимуществом.
Условия
Стабильный оклад и социальную поддержку сотрудников
Офис находится на Костина, 6
Официальное оформление
Расширенный ДМС с первого дня и льготное страхование для близких
Корпоративное обучение в Виртуальной школе Сбера
Бесплатная подписка СберПрайм+ и скидки на продукты компаний-партнеров
Корпоративная пенсионную программу"|2023-10-09 16:50:43.439943
