link|name|location|company|date|description|date_of_download
https://team.vk.company/vacancy/14451/|QA-инженер|Москва, гибкий|ВКонтакте для бизнеса||"QA-инженер, Москва
Откликнуться
Мы в поисках опытного QA-инженера в команду Маркета.
Маркет – это полноценная e-commerce площадка внутри социальной сети ВКонтакте, где можно найти любимые товары от крупных и локальных брендов. Наша команда ежедневно совершенствует опыт покупателей и разрабатывает механики для безопасных и комфортных покупок с учетом геолокации.
Как построена работа:
тебя ждет роль Full-stack специалиста в продуктовой кросс-функциональной команде, где ты сможешь наравне со всеми участниками влиять на основные этапы разработки фичи — от ее зарождения до релиза;
мы занимаемся обеспечением качества в mobile и web направлениях;
команды работают по спринтам, на каждый квартал планируются OKR (стараемся синхронизировать индивидуальные + командные цели и регулярно отслеживать динамику), принимая участие в которых ты сможешь проявить себя.
Инструменты и стек:
Java + Selenium + Maven — проект автотестов;
TeamCity + Allure TestOps — для запуска и мониторинга автотестов; 
Kibana, Elastik — для чтения логов (конечно, доступ к серверам через bash напрямую тоже есть); 
Xcode, Android Studio — для симуляторов мобилок и Appium для взаимодействия с ними; 
лицензионный Charles для работы с мобильными запросами.
Задачи
участие в планировании и грумингах от тестирования в продуктовой команде;
взаимодействие с разработчиками, дизайнерами, бизнесом и возможность влиять на принимаемые решения;
функциональное и регрессионное тестирование раздела Маркет в приложении ВКонтакте, а также тестирование интеграций с другими сервисами и системами;
обнаружение, документирование и отслеживание дефектов;
решение инцидентов по линии технической поддержки;
работа с автотестами — запуск, разбор падений, написание.
Требования
знание видов тестирования и техник тест-дизайна;
опыт тестирования мобильных приложений;
опыт работы с системами контроля версий;
опыт работы с системами учета багов (у нас Jira);
опыт написания автотестов на Java или готовность быстро начать.
Будет плюсом
опыт работы с bash-консолью;
опыт работы с MongoDB;
опыт работы с Kafka;
знание регулярных выражений.

Формат работы
офисный комбинированный дистанционный
Уровень
middle
График работы
полный
ВКонтакте для бизнеса
ВКонтакте для бизнеса — это лучшие инструменты для запуска и развития своего дела ВКонтакте. Это полноценные и удобные интернет-магазины с онлайн-платежами и доставкой, Маркет ВКонтакте с товарами от известных и локальных брендов, более 2,4 млн. активных предпринимателей и более 500 тыс. активных магазинов.
Подробнее о проекте"|2023-10-08 16:20:49.216502
https://team.vk.company/vacancy/32523/|Дата-инженер|Москва, гибкий|Дзен||"Дата-инженер, Москва
Откликнуться
О Дзене 
Каждый день миллионы людей смотрят, читают и обсуждают контент в Дзене. Здесь можно всё: снимать видео или короткие ролики, писать статьи или делиться фотографиями в постах.
Задачи
поддерживать высокую производительность расчетов аналитических витрин;
следить за вычислительными ресурсами платформы;
внедрять новые расчеты с использованием Python, SQL, внутренних инструментов оркестрации;
визуализировать результаты в DataLens
Требования
высшее математическое или техническое образование;
знание базовых алгоритмов и структур данных;
знание SQL;
опыт проектирования схемы базы данных — структур таблиц и связей между ними;
опыт обработки данных на Python.
Будет плюсом
опыт визуализации данных;
опыт работы с оркестраторами (например, Airflow).
Формат работы
комбинированный дистанционный
Уровень
middle senior
График работы
полный
Дзен
В Дзене можно вести блоги, снимать ролики, общаться по интересам и просто хорошо проводить время. А еще в Дзене можно работать — вместе с нами делать сервис простым и удобным. Таким, чтобы сами хотели им пользоваться.
Подробнее о проекте"|2023-10-08 16:20:49.259959
https://team.vk.company/vacancy/30929/|Аналитик данных|Москва, комбинированный|VK||"Аналитик данных, Москва
Откликнуться
Мы занимаемся различного рода аналитическими задачами по запросам наших коллег — анализ релиза нового трека, определение целевой аудитории какого-либо сообщества, подготовка отчетов для совершения крупной сделки на уровне корпорации, все что угодно. 
У нас есть трек креативных исследований, в рамках которого можно смело придумать абсолютно любое исследование, ограниченное только воображением, и реализовать его.
У нас молодая команда, полное отсутствие бюрократии, гибкий график. Работаем со множеством различных команд внутри компании — начиная от коллег по бизнес-юниту, заканчивая Одноклассниками и Дзеном. Наши задачи стремительно увеличиваются, поэтому команда активно растет и мы в поиске аналитика.
Задачи
исследовать данные источников, искать зависимости и находить инсайты;
создавать и регулярно обновлять аналитическую отчетность;
взаимодействовать напрямую с разработчиками и менеджерами;
написание SQL запросов, создание дашбордов;
проведение самых разных исследований, основанных на данных.
Требования
опыт работы в анализе данных;
знание Python и библиотек для анализа и визуализации — pandas, numpy, seaborn, matplotlib и т.д.;
уверенное владение SQL, составление аналитических запросов — ClickHouse, MySQL;
опыт построения отчетов в BI-системах — Superset, Redash;
владение продуктовой терминологией и понимание метрик (DAU, LTV и др.);
 умеете исследовать данные источников, искать зависимости и находить инсайты;
умеете создавать и регулярно обновлять аналитическую отчетность;
можете взаимодействовать напрямую с разработчиками и менеджерами;
можете работать самостоятельно и отвечать за результат;
Будет плюсом
опыт работы с большими объемами данных — Hadoop, Hive, Spark/PySpark;
понимание основных алгоритмов машинного обучения и решаемых ими задачах.
Формат работы
комбинированный
Уровень
middle
График работы
полный
VK
VK — это более 200 технологичных проектов, больше 11 000 сотрудников и миллион возможностей проявить себя. Мы делаем современные и быстрые интернет-сервисы, доступные каждому.
Подробнее о проекте"|2023-10-08 16:20:49.303726
https://team.vk.company/vacancy/32888/|Data-инженер|Москва, гибкий|Рекламные технологии и развитие СМБ||"Data-инженер, Москва
Откликнуться
Ищем дата-инженера в рекламные технологии, который будет поддерживать расчёт текущих аналитических витрин и поможет нам грамотно выстроить ETL-процессы в новом хранилище рекламных данных.
Задачи
Построение новых и оптимизация существующих ETL-процессов;
Написание и оптимизация сложных SQL-запросов;
Ad-hoc задачи по подготовке данных, их автоматизация;
Участие в доработках платформы и фреймворков для расчетов;
Анализ сырых данных.
Требования
Уверенное владение SQL на уровне написания сложных запросов;
Уверенное владение Python;
Умение и желание разбираться в сложных процессах преобразования данных;

Будет плюсом
Опыт работы с ClickHouse;
Опыт работы с Hadoop и PySpark;
Опыт работы с Airflow;
Опыт работы с большими объемами данных.
Формат работы
офисный комбинированный дистанционный
Уровень
middle
График работы
полный
Рекламные технологии и развитие СМБ
Направление объединяет рекламные продукты и инструменты для бизнеса —  VK Реклама, ОРД, MyTracker, которые упрощают начало работы и ежедневное взаимодействие с рекламными кампаниями для любых категорий пользователей от начинающих предпринимателей до профессионалов маркетинга.
Подробнее о проекте"|2023-10-08 16:20:49.348671
https://team.vk.company/vacancy/31373/|DevOps-инженер|Москва, гибкий|VK Tax Compliance||"DevOps-инженер, Москва
Откликнуться
Мы — техническая команда внедрения платформенных решений и сервисов B2G.
С помощью наших решений компании могут стать участником Налогового мониторинга и выполнить все требования законодательства к информационному взаимодействию с ФНС.В нашем портфеле уже более 25 проектов внедрений, находящихся на различных стадиях запуска: от подготовки к старту до нескольких лет в продуктивной эксплуатации.
Мы реализуем решения на базе платформы VK Compliance, разработчиком которой является наша команда продукта. Мы тесно взаимодействуем с коллегами из продуктовой разработки на всех фазах delivery-процесса, и каждое решение мы запускаем совместно с ними.

Мы продолжаем усиливать нашу продуктовую команду, и прямо сейчас ищем DevOps-инженера.
Linux: Debian-based, Centos;
IAC: Ansible, Gitlab CI, Terraform;
Web: Nginx;
Deployment: Docker, Kubernetes;
Observability: Loki, Grafana\Prometheus, агенты мониторинга и сбора логов;
Other: Keycloak, Postgres, Minio, Redis, Kafka, Clickhouse, Nexus, Airflow.
Задачи
подготовка и сопровождение системных ландшафтов dev/qa/demo (в VK Cloud);
подготовка и сопровождение системы развертывания SaaS решений;
написание скриптов для развертывания ПО на ""чистых"" серверах (Ansible playbooks);
автоматизация развертывания ландшафтов;
бэкап и перенос ландшафтов;
настройка инструментов мониторинга для ландшафтов;
диагностика инфраструктурных, сетевых, интеграционных и прочих проблем окружения.
Требования
от двух лет опыта работы в роли DevOps;
экспертиза по Linux;
опыт написания CI\CD pipelines (у нас Gitlab CI + Ansible Playbooks);
опыт работы с GIT;
опыт развертывания и администрирования компонент в контейнерах (Docker, K8S);
опыт скриптинга (Bash, Python);
желание и умение автоматизировать все, что можно и нельзя
Будет плюсом
опыт работы с  Terraform;
навыки конфигурирования отказоустойчивых решений;
навыки администрирования Postgresql, Minio, Keycloak, Redis, Kafka, ClickHouse;
Prometheus + Grafana, ELK-стек;
Опыт работы с Tarantool.
Формат работы
комбинированный дистанционный
Уровень
middle senior
График работы
полный
VK Tax Compliance
С мая 2021 года развиваем VK Tax Compliance — платформу, которая помогает компаниям взаимодействовать с ФНС России в режиме налогового мониторинга. Платформа умеет строить отчёты для тысяч пользователей на основе терабайт данных. Интегрирована с АИС «Налог-3» и дорабатывается под новые требования ФНС России.
Подробнее о проекте"|2023-10-08 16:20:49.397251
https://team.vk.company/vacancy/33584/|DevOps-инженер|Москва, гибкий|VK Teams||"DevOps-инженер, Москва
Откликнуться
VK Teams — cуперапп для корпоративного общения и командной работы, входящий в подписку на сервисы для бизнеса VK WorkSpace. Приложение помогает выстроить коммуникацию в команде, ставить задачи и отслеживать их выполнение, проводить аудио- и видеоконференции, отправлять файлы и ссылки. Суперапп интегрирован с инструментами разработки, а еще мы внедряем ботов-помощников, стикерпаки и даже расшифровку аудиосообщений. 
Сейчас мы в поисках опытного коллеги. 
Задачи
автоматизация и унификация процессов разработки, сборки и тестирования приложений для iOS, Android, Linux, Mac OS, Windows;
поддержка CI/CD систем (TeamCity, Jenkins);
настройка и поддержка инфраструктуры для сборки приложений;
совершенствование релизных циклов;
настройка и поддержка инфраструктуры для запуска автотестов;
автоматизация рабочих процессов для подразделения (боты, скрипты).
Требования
опыт работы DevOPS-инженером от 2 лет;
базовые знания различных ОС (Linux, Mac OS, Windows);
уверенное владение CI/CD инструментами (Jenkins / Gitlab Pipelines / TeamCity);
знание Python на уровне, необходимом для написания скриптов.
Будет плюсом
знание одного или нескольких языков (на уровне чтения или выше): Java / Kotlin / Go;
опыт написания UI-автостестов под мобильные приложения.
Формат работы
офисный комбинированный дистанционный
Уровень
middle
График работы
полный
VK Teams
Мы создавали мессенджер VK Teams для 10 000 сотрудников VK и теперь делимся продуктом с рынком. На его базе развиваем цифровое рабочее место для 100 000 сотрудников Минцифры, ЦИК и федеральных госучреждений.
Подробнее о проекте"|2023-10-08 16:20:49.439116
https://team.vk.company/vacancy/33284/|Инженер технической поддержки Tarantool (с ростом в DevOps)|Москва, гибкий|Tarantool||"Инженер технической поддержки Tarantool (с ростом в DevOps), Москва
Откликнуться
Tarantool — open-source продукт российского происхождения, сервер приложений на языке Lua, интегрированный с резидентной NoSQL-СУБД, которая содержит все обрабатываемые данные и индексы в оперативной памяти, а также включает быстрый движок для работы с постоянным хранилищем (жесткие диски). Благодаря своим архитектурным особенностям Тарантул позволяет быстро обрабатывать большие объемы данных, поэтому эта СУБД широко применяется в различных Big Data проектах.

Сейчас мы рады пригласить в команду инженера поддержки. Далее, по результату роста компетенций, возможен переход в DevOps.
Задачи
мониторинг, прием и регистрация обращений (Jira, OTRS) клиентов;
сбор необходимой первичной информации для дальнейшей диагностики проблемы, регистрация ее в Jira и GitHub;
первичная диагностика и возможное устранение проблемы на уровне своих компетенций;
сбор информации и наполнение Базы знаний Tarantool;
техническая поддержка (в том числе установка обновлений, отладка стендов и прочие пусконаладочные работы) клиента по продукту Tarantool.
Требования
наличие высшего образования;
опыт работы в аналогичной роли (техническая поддержка, системное администрирование) — от 1 года;
знание Linux (команд, инструментария, особенно для диагностики);
практические наработки (пет-проекты, курсы и другие);
внимательность, хорошая обучаемость, пунктуальность.
Будет плюсом
понимание архитектуры высоконагруженных промышленных систем;
начальные знания любого из языков программирования (Java, Python, Go, C, Lua);
наличие личных разработок;
начальные знания / понимание процесса DevOps;
опыт работы дежурным инженером.
Формат работы
офисный комбинированный дистанционный
Уровень
junior middle
График работы
полный сменный
Tarantool
Про Tarantool его разработчики говорят, что это сервер приложений и база данных в одном флаконе. Платформа может заменять более 30 серверов с обычной СУБД и обрабатывать до 1 млн запросов в секунду. Tarantool — open-source решение: когда пишешь код, создаёшь свою репутацию на GitHub.
Подробнее о проекте"|2023-10-08 16:20:49.488227
https://team.vk.company/vacancy/32945/|Инженер по мониторингу (VK ID)|дистанционный|VK||"Инженер по мониторингу (VK ID)
Откликнуться
Когда строить экосистему — это твой профиль.
Наша команда занимается разработкой VK ID — единого аккаунта пользователя во всех сервисах, личным кабинетом для управления безопасностью и данными, а также инструментами и решениями для партнеров и разработчиков, позволяющими объединить их в экосистему и пользоваться ее преимуществами.
Наши главные задачи — сделать VK ID самым удобным, безопасным и эффективным сервисом авторизации в Рунете как для пользователей, так и для партнеров.
Наша миссия — соединять людей, сервисы и компании, предоставляя им удобные и безопасные инструменты.
Задачи
Развивать и поддерживать системы мониторинга, уведомлений («алертинга»), расчета SLA/SLI;
Выявлять отклонения в работе сервисов на ранней стадии, участвовать в устранении аварий и сбоев;
Улучшать процессы и инфраструктуру для обеспечения бесперебойной работы сервисов;
Тесно взаимодействовать с командой разработки, эксплуатации и поддержки;
Развивать базу знаний и проектную документацию (инструкции, FAQ, описания);
Разрабатывать инструменты для автоматизации
Требования
Имеешь опыт работы и настройки систем мониторинга и алертинга (Prometheus, Grafana, Alertmanager);
Владеешь любым современным языком программирования (идеально если это PHP);
Владеешь языками запросов SQL и PromQL;
Работал с ОС Linux
Имеешь опыт работы с СУБД (Clickhouse/MySQL/PostgreSQL);
Не боишься сталкиваться с новым и неизвестным, готов к обучению и новым знаниям.
Формат работы
дистанционный
Уровень
middle
График работы
полный
VK
VK — это более 200 технологичных проектов, больше 11 000 сотрудников и миллион возможностей проявить себя. Мы делаем современные и быстрые интернет-сервисы, доступные каждому.
Подробнее о проекте"|2023-10-08 16:20:49.537200
https://team.vk.company/vacancy/25583/|Delivery инженер Private Cloud|Москва, гибкий|VK Cloud||"Delivery инженер Private Cloud, Москва
Откликнуться
Сейчас мы усиливаем наше подразделение профессиональных сервисов для работы с VK Private Cloud - решения, построенного на базе облачной платформы OpenStack. Мы ищем опытных инженеров, которые готовы помогать нашим партнерам и заказчикам развертывать, обслуживать и развивать частные облака с использованием нашей платформы.
Задачи
устанавливать и настраивать частное облако VK Cloud (решение на базе OpenStack) на площадках заказчиков;
автоматизировать развертывание новых площадок и поддерживать текущие;
помогать заказчикам эксплуатировать установленные системы на их площадках (подключаться по заявкам);
взаимодействовать с отделами разработки, тестирования, безопасности, эксплуатации сети и отдельных сервисов;
Требования
опыт работы в эксплуатации, или внедрении инфраструктурных Enterprise проектов — от 3 лет;
экспертные знания в эксплуатации Linux-систем (желательно CentOS подобных);
уверенные знания сети и стека TCP/IP, DNS, HTTP;
понимание принципов работы технологий VLAN и VxLAN;
практический опыт использования инструментов управления конфигурацией, таких как Ansible/Puppet/Salt/Chef;
практический опыт использования технологий контейнеризации;
опыт работы с облачными платформами (частными или публичными).
Будет плюсом
понимание принципов работы протокола BGP;
опыт работы с Ceph;
опыт работы с Kubernetes.
Формат работы
комбинированный дистанционный
Уровень
middle senior
График работы
полный
VK Cloud
VK Cloud — это платформа облачных сервисов для бизнеса и разработчиков. С 2018 года мы развиваем облачные сервисы по модели as-a-service. Клиенты пользуются сервисами в публичном облаке или заказывают частные инсталляции.
Подробнее о проекте"|2023-10-08 16:20:49.581798
https://team.vk.company/vacancy/32435/|Инженер по информационной безопасности (BugBounty)|Москва, гибкий|Информационная безопасность||"Инженер по информационной безопасности (BugBounty), Москва
Откликнуться
Команда BugBounty активно сотрудничает с хакерами со всего мира, которые сообщают об уязвимостях, проверяют и подтверждают найденные баги.
Мы активно работаем с сообществом багхантеров: организуем конференции, вечеринки и митапы.
Наша команда растет, и мы в поисках инженера по информационной безопасности, который будет участвовать в крупнейших проектах нашей компании.
Задачи
проверка и подтверждение найденных багов;
постановка задач разработчикам на фикс багов и контроль сроков выполнения этих задач;
формирование рекомендаций по улучшению уровня защищенности информационных систем и процессов ИБ;
коммуникация с сообществом исследователей ИБ и подразделениями, занимающимися фиксом уязвимостей;
трекинг уязвимостей в Jira.
Требования
опыт анализа защищенности веб-приложений (Black Box, White Box, Grey Box);
понимание принципов работы систем аутентификации и авторизации (OAuth, SAML, 2FA);
знание Bash, Python или любого другого средства скриптовой автоматизации;
опыт работы с популярными Linux утилитами анализа трафика и web-сайтов (Burp Suite, Nmap, WireShark, curl-запросы);
знание Client-Side и Server-Side уязвимостей (в идеале — тебе знакомы все слова из списка: Stored XSS, Reflected XSS, DOM XSS, CSRF, CSTI, Clickjaking, CRLF injection, Open redirect, RCE, SQL injection, XXE, JWT misuse, Request Smuggling, SSTI, Insecure Deserialization, IDOR, Directory traversal, Authorization bypass, SSRF. Но если не знаешь — расскажем и научим);
умение объяснять коллегам опасность и способы фикса найденных багов.
Формат работы
офисный комбинированный дистанционный
Уровень
middle
График работы
полный
Информационная безопасность
Команда информационной безопасности осуществляет комплексную защиту инфраструктуры и сервисов экосистемы VK, обеспечивая круглосуточный мониторинг угроз, поиск и устранение уязвимостей, а также программу защиты пользователей и их данных VK Protect.
В блок «Информационная безопасность» входит 5 департаментов — защита инфраструктуры, защита клиентов, методология ИБ, управление проектами и защита приложений. Команда информационной безопасности постоянно развивает технологии по защите сервисов и пользователей VK, внедряя и совершенствуя новейшие практики. 
Подробнее о проекте"|2023-10-08 16:20:49.629173
